route,travel_seconds,unloading_seconds,total_time_seconds,total_time_minutes,base_minutes_billed,overtime_minutes_billed,base_cost,overtime_cost,total_cost
Centre Port->Woolworths Karori->FreshChoice Woburn->Centre Port,3673.56,4500.0,8173.5599999999995,136.226,136.226,0.0,454.0866666666667,0.0,454.0866666666667
Centre Port->Woolworths Karori->Woolworths Petone->Centre Port,2924.02,5400.0,8324.02,138.73366666666666,138.73366666666666,0.0,462.4455555555556,0.0,462.4455555555556
Centre Port->Woolworths Karori->FreshChoice Cuba Street->Centre Port,1767.06,4500.0,6267.0599999999995,104.451,104.451,0.0,348.17,0.0,348.17
Centre Port->Woolworths Karori->Woolworths Porirua->Centre Port,4357.99,6300.0,10657.99,177.63316666666665,177.63316666666665,0.0,592.1105555555555,0.0,592.1105555555555
Centre Port->Woolworths Karori->Woolworths Aotea->Centre Port,4427.28,5400.0,9827.279999999999,163.78799999999998,163.78799999999998,0.0,545.9599999999999,0.0,545.9599999999999
Centre Port->Woolworths Karori->Woolworths Upper Hutt->Centre Port,5802.639999999999,5400.0,11202.64,186.71066666666667,180.0,6.710666666666668,600.0,30.75722222222223,630.7572222222223
Centre Port->Woolworths Karori->Woolworths Johnsonville Mall->Centre Port,2763.8100000000004,5400.0,8163.81,136.0635,136.0635,0.0,453.545,0.0,453.545
Centre Port->Woolworths Karori->Woolworths Newtown->Centre Port,2267.1099999999997,5400.0,7667.11,127.78516666666665,127.78516666666665,0.0,425.9505555555555,0.0,425.9505555555555
Centre Port->Woolworths Karori->Metro Cable Car Lane->Centre Port,1860.5,4500.0,6360.5,106.00833333333334,106.00833333333334,0.0,353.36111111111114,0.0,353.36111111111114
Centre Port->Woolworths Karori->Woolworths Lower Hutt->Centre Port,3442.75,5400.0,8842.75,147.37916666666666,147.37916666666666,0.0,491.2638888888889,0.0,491.2638888888889
Centre Port->Woolworths Karori->Woolworths Queensgate->Centre Port,3642.62,5400.0,9042.619999999999,150.71033333333332,150.71033333333332,0.0,502.36777777777775,0.0,502.36777777777775
Centre Port->Woolworths Karori->Woolworths Tawa->Centre Port,3834.58,4500.0,8334.58,138.90966666666665,138.90966666666665,0.0,463.0322222222222,0.0,463.0322222222222
Centre Port->Woolworths Karori->Woolworths Crofton Downs->Centre Port,2149.39,6300.0,8449.39,140.82316666666665,140.82316666666665,0.0,469.4105555555555,0.0,469.4105555555555
Centre Port->Woolworths Karori->Woolworths Johnsonville->Centre Port,2702.7,6300.0,9002.7,150.04500000000002,150.04500000000002,0.0,500.1500000000001,0.0,500.1500000000001
Centre Port->Woolworths Karori->Woolworths Maidstone->Centre Port,5806.77,6300.0,12106.77,201.7795,180.0,21.779500000000013,600.0,99.82270833333338,699.8227083333334
Centre Port->Woolworths Karori->FreshChoice Cannons Creek->Centre Port,4424.209999999999,5400.0,9824.21,163.73683333333332,163.73683333333332,0.0,545.7894444444445,0.0,545.7894444444445
Centre Port->Woolworths Porirua->Woolworths Kilbirnie->Centre Port,4408.73,6300.0,10708.73,178.4788333333333,178.4788333333333,0.0,594.9294444444444,0.0,594.9294444444444
Centre Port->Woolworths Porirua->Woolworths Wainuiomata->Centre Port,5824.47,7200.0,13024.470000000001,217.07450000000003,180.0,37.07450000000003,600.0,169.92479166666678,769.9247916666668
Centre Port->Woolworths Porirua->FreshChoice Woburn->Centre Port,4610.5599999999995,5400.0,10010.56,166.84266666666664,166.84266666666664,0.0,556.1422222222221,0.0,556.1422222222221
Centre Port->Woolworths Porirua->Woolworths Petone->Centre Port,3861.0299999999997,6300.0,10161.029999999999,169.35049999999998,169.35049999999998,0.0,564.5016666666667,0.0,564.5016666666667
Centre Port->Woolworths Porirua->FreshChoice Cuba Street->Centre Port,3403.46,5400.0,8803.46,146.7243333333333,146.7243333333333,0.0,489.08111111111106,0.0,489.08111111111106
Centre Port->Woolworths Porirua->Woolworths Karori->Centre Port,4406.349999999999,6300.0,10706.349999999999,178.43916666666664,178.43916666666664,0.0,594.7972222222221,0.0,594.7972222222221
Centre Port->Woolworths Porirua->Woolworths Aotea->Centre Port,3448.25,6300.0,9748.25,162.47083333333333,162.47083333333333,0.0,541.5694444444445,0.0,541.5694444444445
Centre Port->Woolworths Porirua->Woolworths Upper Hutt->Centre Port,6054.95,6300.0,12354.95,205.91583333333335,180.0,25.915833333333353,600.0,118.78090277777785,718.7809027777779
