route,total_cost
Centre Port->Woolworths Petone->Woolworths Porirua->Centre Port,565.663888888889
Centre Port->Woolworths Petone->Woolworths Aotea->Centre Port,519.5133333333333
Centre Port->Woolworths Petone->Woolworths Upper Hutt->Centre Port,559.7694444444445
Centre Port->Woolworths Petone->Woolworths Johnsonville Mall->Centre Port,427.09888888888884
Centre Port->Woolworths Petone->Woolworths Newtown->Centre Port,434.4661111111111
Centre Port->Woolworths Petone->Metro Cable Car Lane->Centre Port,359.61
Centre Port->Woolworths Petone->Woolworths Lower Hutt->Centre Port,428.6644444444445
Centre Port->Woolworths Petone->Woolworths Queensgate->Centre Port,433.0077777777778
Centre Port->Woolworths Petone->Woolworths Tawa->Centre Port,436.5861111111111
Centre Port->Woolworths Petone->Woolworths Crofton Downs->Centre Port,496.6116666666667
Centre Port->Woolworths Petone->Woolworths Johnsonville->Centre Port,473.7038888888889
Centre Port->Woolworths Petone->Woolworths Maidstone->Centre Port,613.7484722222222
Centre Port->Woolworths Petone->FreshChoice Cannons Creek->Centre Port,519.3433333333334
Centre Port->FreshChoice Cuba Street->Woolworths Kilbirnie->Centre Port,350.0977777777778
Centre Port->FreshChoice Cuba Street->Woolworths Wainuiomata->Centre Port,517.5905555555556
Centre Port->FreshChoice Cuba Street->FreshChoice Woburn->Centre Port,350.15166666666664
Centre Port->FreshChoice Cuba Street->Woolworths Petone->Centre Port,358.5105555555556
Centre Port->FreshChoice Cuba Street->Woolworths Karori->Centre Port,348.30444444444447
Centre Port->FreshChoice Cuba Street->Woolworths Porirua->Centre Port,488.17555555555555
Centre Port->FreshChoice Cuba Street->Woolworths Aotea->Centre Port,442.025
Centre Port->FreshChoice Cuba Street->Woolworths Upper Hutt->Centre Port,518.4338888888889
Centre Port->FreshChoice Cuba Street->Woolworths Johnsonville Mall->Centre Port,349.61
Centre Port->FreshChoice Cuba Street->Woolworths Newtown->Centre Port,319.3
Centre Port->FreshChoice Cuba Street->Metro Cable Car Lane->Centre Port,243.84
Centre Port->FreshChoice Cuba Street->Woolworths Lower Hutt->Centre Port,387.3294444444445
Centre Port->FreshChoice Cuba Street->Woolworths Queensgate->Centre Port,398.4327777777778
Centre Port->FreshChoice Cuba Street->Woolworths Tawa->Centre Port,359.0977777777778
Centre Port->FreshChoice Cuba Street->Woolworths Crofton Downs->Centre Port,393.2277777777778
Centre Port->FreshChoice Cuba Street->Woolworths Johnsonville->Centre Port,396.215
Centre Port->FreshChoice Cuba Street->Woolworths Maidstone->Centre Port,568.6633333333334
Centre Port->FreshChoice Cuba Street->FreshChoice Cannons Creek->Centre Port,441.8544444444444
Centre Port->Woolworths Karori->Woolworths Kilbirnie->Centre Port,456.7483333333334
Centre Port->Woolworths Karori->Woolworths Wainuiomata->Centre Port,629.5976388888888
Centre Port->Woolworths Karori->FreshChoice Woburn->Centre Port,454.0866666666667
Centre Port->Woolworths Karori->Woolworths Petone->Centre Port,462.4455555555556
Centre Port->Woolworths Karori->FreshChoice Cuba Street->Centre Port,348.17
Centre Port->Woolworths Karori->Woolworths Porirua->Centre Port,592.1105555555555
Centre Port->Woolworths Karori->Woolworths Aotea->Centre Port,545.9599999999999
Centre Port->Woolworths Karori->Woolworths Upper Hutt->Centre Port,630.7572222222223
Centre Port->Woolworths Karori->Woolworths Johnsonville Mall->Centre Port,453.545
Centre Port->Woolworths Karori->Woolworths Newtown->Centre Port,425.9505555555555
Centre Port->Woolworths Karori->Metro Cable Car Lane->Centre Port,353.36111111111114
Centre Port->Woolworths Karori->Woolworths Lower Hutt->Centre Port,491.2638888888889
Centre Port->Woolworths Karori->Woolworths Queensgate->Centre Port,502.36777777777775
Centre Port->Woolworths Karori->Woolworths Tawa->Centre Port,463.0322222222222
Centre Port->Woolworths Karori->Woolworths Crofton Downs->Centre Port,469.4105555555555
Centre Port->Woolworths Karori->Woolworths Johnsonville->Centre Port,500.1500000000001
Centre Port->Woolworths Karori->Woolworths Maidstone->Centre Port,699.8227083333334
Centre Port->Woolworths Karori->FreshChoice Cannons Creek->Centre Port,545.7894444444445
Centre Port->Woolworths Porirua->Woolworths Kilbirnie->Centre Port,594.9294444444444
Centre Port->Woolworths Porirua->Woolworths Wainuiomata->Centre Port,769.9247916666668
Centre Port->Woolworths Porirua->FreshChoice Woburn->Centre Port,556.1422222222221
Centre Port->Woolworths Porirua->Woolworths Petone->Centre Port,564.5016666666667
Centre Port->Woolworths Porirua->FreshChoice Cuba Street->Centre Port,489.08111111111106
Centre Port->Woolworths Porirua->Woolworths Karori->Centre Port,594.7972222222221
